PAGE URL,h1_element,Bild
https://printexpress.pl/en/product/winter-cap-original-patch-beanie-beechfield/,Winter cap Original Patch Beanie Beechfield - B445,https://printexpress.pl/wp-content/uploads/2024/07/CB445_Graphite-Grey-glowne.jpg
https://printexpress.pl/en/product/polyester-bag-icon-gymsac/,Polyester bag Icon Gymsac - BG110,https://printexpress.pl/wp-content/uploads/2024/07/BG110_Black_Surf-Blue-glowne.jpg
https://printexpress.pl/en/product/cap-flexfit-wooly-combed-cap/,Cap FLEXFIT Wooly Combed Cap - 6277,https://printexpress.pl/wp-content/uploads/2024/07/FX6277_Dark-Leaf-Green-glowne.jpg
https://printexpress.pl/en/product/winter-beanie-original-cuffed-beanie-beechfield/,Winter beanie Original Cuffed Beanie Beechfield - B45,https://printexpress.pl/wp-content/uploads/2024/07/CB45_Black-glowne.jpg
https://printexpress.pl/en/product/winter-cap-woolly-ski-hat-result/,Winter cap Woolly Ski Hat Result - RC033X,https://printexpress.pl/wp-content/uploads/2024/10/RC33_Navy-glowne.jpg
https://printexpress.pl/en/product/mesh-cap-snapback-trucker-beechfield/,Mesh cap Snapback Trucker Beechfield - B640,https://printexpress.pl/wp-content/uploads/2024/07/CB640_Black_White-glowne.jpg
https://printexpress.pl/en/product/cap-5-panel-snapback-rapper-cap-beechfield/,Cap 5 Panel Snapback Rapper Cap Beechfield - B610,https://printexpress.pl/wp-content/uploads/2024/07/CB610_Classic-Red-glowne.jpg
https://printexpress.pl/en/product/cap-flexfit-classic-snapback/,Cap FLEXFIT Classic Snapback - 6089M,https://printexpress.pl/wp-content/uploads/2024/07/FX6089M_Heather-Grey-glowne.jpg
https://printexpress.pl/en/product/cap-ultimate-6-panel-cap-beechfield/,Cap Ultimate 6 Panel Cap Beechfield - B18,https://printexpress.pl/wp-content/uploads/2024/07/CB18_Bottle-Green-glowne.jpg
https://printexpress.pl/en/product/cap-original-5-panel-cap-beechfield/,Cap Original 5 Panel Cap Beechfield - B10,https://printexpress.pl/wp-content/uploads/2024/07/CB10_Light-Grey-dlowne.jpg
https://printexpress.pl/en/product/cap-rap-5p-malfini/,Cap Rap 5p Malfini - 301,https://printexpress.pl/wp-content/uploads/2024/07/301_09_c_xl_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowne.jpg
